book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating
47059.The_Marble_Faun,47059,The Marble Faun,1860,https://www.goodreads.com/author/show/7799.Nathaniel_Hawthorne,Nathaniel Hawthorne,"['Classics', 'Fiction', '19th Century', 'Italy', 'American', 'Literature', 'Art', '...more']","3,102",210,3.48
369786.Three_Classic_African_American_Novels,369786,Three Classic African-American Novels: The Heroic Slave; Clotel; Our Nig,1990,https://www.goodreads.com/author/show/18943.Frederick_Douglass,Frederick Douglass,"['Fiction', 'African American Literature', 'African American']",68,9,3.76
56612192-once-upon-a-temptingly-ruinous-kiss,56612192,Once Upon a Temptingly Ruinous Kiss,2021,https://www.goodreads.com/author/show/7333700.Bree_Wolf,Bree Wolf,"['Romance', 'Historical Romance', 'Clean Romance', 'Regency Romance', 'Historical', 'Regency', 'Mystery', '...more']",891,112,4.41
20563.Adam_Bede,20563,Adam Bede,1859,https://www.goodreads.com/author/show/173.George_Eliot,George Eliot,"['Classics', 'Fiction', 'Historical Fiction', '19th Century', 'Literature', 'Victorian', 'British Literature', '...more']","24,620","1,140",3.81
24874356-a-pair-of-silk-stockings,24874356,A Pair of Silk Stockings,1897,https://www.goodreads.com/author/show/5132.Kate_Chopin,Kate Chopin,"['Short Stories', 'Classics', 'Fiction', 'Feminism', '19th Century', 'American', 'School', '...more']","2,008",230,3.64
59078358-the-squirrel-inn,59078358,The Squirrel Inn,2015,https://www.goodreads.com/author/show/4988270.Frank_R_Stockton,Frank R. Stockton,[],2,1,4.0
1153622.Ten_Great_Mysteries,1153622,Ten Great Mysteries,1960,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,Edgar Allan Poe,"['Classics', 'Fiction', 'Mystery', 'Short Stories', 'Horror', 'Poetry', 'Anthologies', '...more']","1,106",66,4.07
355730.The_Haunted_Hotel,355730,The Haunted Hotel: A Mystery of Modern Venice,1879,https://www.goodreads.com/author/show/4012.Wilkie_Collins,Wilkie Collins,"['Classics', 'Mystery', 'Horror', 'Fiction', 'Gothic', 'Victorian', '19th Century', '...more']","6,533",742,3.44
29177561-the-lyon-s-den-and-its-eight-young-lyons,29177561,The Lyon's Den And Its Eight Young Lyons,2015,https://www.goodreads.com/author/show/15003099.Yotty_Osborn,Yotty Osborn,[],1,0,5.0
4292073-tales-of-all-countries-1,4292073,Tales of All Countries 1,1861,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Short Stories']",20,4,3.05
