,id,title,author
172,https://www.goodreads.com/book/show/566328.The_Betrothed,The Betrothed,Alessandro Manzoni
173,https://www.goodreads.com/book/show/780581.Bel_Ami,Bel-Ami,Guy de Maupassant
174,https://www.goodreads.com/book/show/372319.Jo_s_Boys,Jo's Boys,Louisa May Alcott
175,https://www.goodreads.com/book/show/210834.Kim,Kim,Rudyard Kipling
176,https://www.goodreads.com/book/show/137277.The_Europeans,The Europeans,Henry James
177,https://www.goodreads.com/book/show/210255.Against_Nature,Against Nature,Joris-Karl Huysmans
178,https://www.goodreads.com/book/show/620790.A_Long_Fatal_Love_Chase,A Long Fatal Love Chase,Louisa May Alcott
179,https://www.goodreads.com/book/show/92967.L_Assommoir,L'Assommoir,Émile Zola
180,https://www.goodreads.com/book/show/14570.Eight_Cousins,"Eight Cousins (Eight Cousins, #1)",Louisa May Alcott
181,https://www.goodreads.com/book/show/59144.Cousin_Bette,Cousin Bette,Honoré de Balzac
182,https://www.goodreads.com/book/show/58343.The_Awakening_and_Selected_Stories,The Awakening and Selected Stories,Kate Chopin
183,https://www.goodreads.com/book/show/73960.Lorna_Doone,Lorna Doone,R.D. Blackmore
184,https://www.goodreads.com/book/show/206173.The_Pit_and_the_Pendulum,The Pit and the Pendulum,Edgar Allan Poe
185,https://www.goodreads.com/book/show/88179.Fairy_Tales,Fairy Tales,Hans Christian Andersen
186,https://www.goodreads.com/book/show/1772910.White_Nights,White Nights,Fyodor Dostoevsky
187,https://www.goodreads.com/book/show/539025.Waverley,Waverley,Walter Scott
188,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum
189,https://www.goodreads.com/book/show/3301759-the-murders-in-the-rue-morgue,"The Murders in the Rue Morgue (C. Auguste Dupin, #1)",Edgar Allan Poe
190,https://www.goodreads.com/book/show/381362.The_Rise_of_Silas_Lapham,The Rise of Silas Lapham,William Dean Howells
191,https://www.goodreads.com/book/show/20675.The_American,The American,Henry James
192,https://www.goodreads.com/book/show/103086.The_Man_Who_Would_Be_King,The Man Who Would Be King,Rudyard Kipling
193,https://www.goodreads.com/book/show/93.Heidi,Heidi,Johanna Spyri
194,https://www.goodreads.com/book/show/178629.Benito_Cereno,Benito Cereno,Herman Melville
195,https://www.goodreads.com/book/show/882993.Cousin_Phyllis,Cousin Phyllis,Elizabeth Gaskell
196,https://www.goodreads.com/book/show/156152.Tales_of_Mystery_and_Imagination,Tales of Mystery and Imagination,Edgar Allan Poe
197,https://www.goodreads.com/book/show/360370.A_Country_Doctor,A Country Doctor,Sarah Orne Jewett
198,https://www.goodreads.com/book/show/887338.Hope_Leslie,"Hope Leslie: or, Early Times in the Massachusetts",Catharine Maria Sedgwick
199,https://www.goodreads.com/book/show/73954.The_Eustace_Diamonds,"The Eustace Diamonds (Palliser, #3)",Anthony Trollope
200,https://www.goodreads.com/book/show/562471.Young_Goodman_Brown,Young Goodman Brown,Nathaniel Hawthorne
201,https://www.goodreads.com/book/show/597702.The_Wide_Wide_World,"The Wide, Wide World",Susan Bogert Warner
202,https://www.goodreads.com/book/show/221597.Salammb_,Salammbô,Gustave Flaubert
203,https://www.goodreads.com/book/show/126609.Sister_Carrie,Sister Carrie,Theodore Dreiser
204,https://www.goodreads.com/book/show/210190.The_Double,The Double,Fyodor Dostoevsky
205,https://www.goodreads.com/book/show/2182.Three_Tales,Three Tales,Gustave Flaubert
206,https://www.goodreads.com/book/show/680596.Der_Sandmann,Der Sandmann,E.T.A. Hoffmann
207,https://www.goodreads.com/book/show/1249630.Os_Maias,Os Maias,Eça de Queirós
208,https://www.goodreads.com/book/show/269894.A_Simple_Heart,A Simple Heart,Gustave Flaubert
209,https://www.goodreads.com/book/show/17877.The_House_of_the_Dead,The House of the Dead,Fyodor Dostoevsky
210,https://www.goodreads.com/book/show/231560.Uncle_Vanya,Uncle Vanya,Anton Chekhov
211,https://www.goodreads.com/book/show/455696.Adolphe,Adolphe,Benjamin Constant
212,https://www.goodreads.com/book/show/12950.The_Turn_of_the_Screw_and_The_Aspern_Papers,The Turn of the Screw and The Aspern Papers,Henry James
213,https://www.goodreads.com/book/show/549938.The_Cricket_on_the_Hearth,The Cricket on the Hearth,Charles Dickens
214,https://www.goodreads.com/book/show/221391.Mathilda,Mathilda,Mary Wollstonecraft Shelley
